id,utterance,context,targetValue
nt-1606,what is the name of the district listed after thrissur?,csv/204-csv/851.csv,Kollam
nt-3532,what district has the same population density as laborie despite having a smaller land area?,csv/203-csv/212.csv,Anse la Raye
nt-11714,how many gold medals did puerto rico earn?,csv/203-csv/716.csv,0
nt-7339,how long did it take for the international covenant on civil and political rights to be signed before it was ratified?,csv/203-csv/109.csv,11 years
nt-10857,what was the first public middle school established in hawaii?,csv/203-csv/416.csv,Washington Middle School
nt-2298,all of these landmarks have at least how many stories?,csv/204-csv/829.csv,3
nt-1419,what is the total number of multi-platinum songs?,csv/203-csv/799.csv,8
nt-7556,which countries each won 3 gold medals?,csv/203-csv/653.csv,Japan|Netherlands
nt-1773,"which year did switzerland not win 10 gold metals in the winter paralympics? 1976, 1992, or 1998?",csv/204-csv/374.csv,1992
nt-7670,how many australians were in the top 10?,csv/204-csv/544.csv,2
nt-7272,how many drivers participated in the race?,csv/203-csv/804.csv,16
nt-10680,how many license plates were issued before 1960?,csv/203-csv/379.csv,6
nt-7617,"of the ten games in which rowaihi scored goals for the saudi team, how many were won by a margin of 3 or more?",csv/204-csv/836.csv,6
nt-2572,name one year that only had 6000 in attendance at lotusphere.,csv/203-csv/794.csv,2002
nt-11073,what was the total attendance for the tigers' first three games of 2008?,csv/204-csv/858.csv,"223,962"
nt-11645,what is the number of singles featured in this table?,csv/204-csv/613.csv,5
nt-8032,how many stadiums hold ore than 2000 people?,csv/204-csv/195.csv,8
nt-13619,which boat builder is the most popular?,csv/204-csv/33.csv,"Enterprise Boat Company, Rock Ferry"
nt-13363,how many mayors of anglet town served for longer than the previous mayor?,csv/203-csv/372.csv,3
nt-4725,what englishman played for melbourne before any other englishman?,csv/203-csv/221.csv,James Robinson
nt-14128,"how many games had an attendance less than 45,000 people",csv/203-csv/828.csv,7
nt-1868,how many total episodes of nash bridges between 1997 and 2000?,csv/203-csv/797.csv,12
nt-6240,who won the first game of the season?,csv/203-csv/730.csv,Denver Broncos
nt-13969,"what is the total population in 2005 of qingxi, ruyi, and daping combined?",csv/204-csv/891.csv,"49,400"
nt-3244,when is the next game played after november 17th?,csv/204-csv/513.csv,Nov-23
nt-13239,how many times has maryland won the acc women's basketball tournament?,csv/204-csv/807.csv,10
nt-8454,who is the only pitcher to have more than one save during this period?,csv/203-csv/240.csv,John Franco
nt-7657,what was the number of pulse chart position?,csv/203-csv/512.csv,92
nt-2533,how many cities have populations greater than arquata scrivia?,csv/203-csv/413.csv,8
nt-8008,who got more votes? nationals sa or independent?,csv/203-csv/494.csv,Independent
nt-6710,what was the only year mr. wu competed in the olympic games?,csv/203-csv/436.csv,2004
nt-5311,what is the lowest tier season to season?,csv/204-csv/524.csv,4
nt-4484,"is ""dem boyz"" or ""felonies"" have the featured guest p. diddy?",csv/204-csv/184.csv,Dem Boyz
nt-11524,what is the difference between the number of onthophagus obliquus species released and the number of sisyphus rubrus paschalidis released?,csv/204-csv/869.csv,76633
nt-9022,what is the name of the biggest capacity stadium?,csv/204-csv/992.csv,Ricardo Saprissa
nt-6789,"leal won on july 23, but when was the blue jays previous win?",csv/203-csv/336.csv,Jul-20
nt-10996,how many services other than the heer had members awarded the knight's cross of the iron cross?,csv/203-csv/71.csv,3
nt-13893,what country was the top performer from?,csv/204-csv/902.csv,Jamaica
nt-12986,what is the total amount of times they played against opponent @min?,csv/203-csv/536.csv,2
nt-1180,name the two kingdoms whose monarchs have the longest and second longest reign.,csv/203-csv/298.csv,Thailand|Commonwealth realms
nt-10444,"after france, who has the next highest amount of silver medals?",csv/203-csv/314.csv,England
nt-5100,how many high jumpers had a result of 2.19?,csv/204-csv/173.csv,5
nt-13398,what chassis was on the last team on the chart's car?,csv/204-csv/864.csv,Chevrolet Corvette
nt-10933,how many stations are at least 128 kbit/s?,csv/203-csv/603.csv,7
nt-4591,how many countries are on the chart?,csv/204-csv/741.csv,15
nt-3699,how many films were done before the 1950s?,csv/204-csv/852.csv,21
nt-5501,what was the only release title for the artist black sun productions?,csv/203-csv/607.csv,Plastic Spider Thing
nt-11063,what is the difference in gross capacity between the ignalina-1 and the chernobyl-6?,csv/203-csv/78.csv,300
nt-13614,who is the only frenchman to win during the year?,csv/203-csv/704.csv,Arie Luyendyk
nt-4751,how many locations are listed on the chart total?,csv/204-csv/258.csv,17
