file_path,transcript
./data/voice/dev_ami_es2011a_h00_fee041_0003427_0003714,HERE WE GO
./data/voice/dev_ami_es2011a_h00_fee041_0003714_0003915,WELCOME EVERYBODY
./data/voice/dev_ami_es2011a_h00_fee041_0003915_0004332,UM I'M ABIGAIL CLAFLIN
./data/voice/dev_ami_es2011a_h00_fee041_0004332_0004439,YOU CAN CALL ME ABBIE
./data/voice/dev_ami_es2011a_h00_fee041_0004643_0004763,'S SEE
./data/voice/dev_ami_es2011a_h00_fee041_0004763_0005020,POWERPOINT THAT'S NOT IT
./data/voice/dev_ami_es2011a_h00_fee041_0005020_0005133,THERE WE GO
./data/voice/dev_ami_es2011a_h00_fee041_0005133_0005553,SO THIS IS OUR KICK OFF MEETING
./data/voice/dev_ami_es2011a_h00_fee041_0005553_0005685,UM
./data/voice/dev_ami_es2011a_h00_fee041_0005856_0006217,AND I GUESS WE SHOULD ALL GET ACQUAINTED
./data/voice/dev_ami_es2011a_h00_fee041_0006217_0006428,LET'S SHALL WE ALL INTRODUCE OURSELVES
./data/voice/dev_ami_es2011a_h00_fee041_0007704_0007898,I THINK WE'LL GET AROUND TO THAT YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0007898_0008079,SO THIS IS JUST INTRODUCTIONS YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0008298_0008364,OKAY
./data/voice/dev_ami_es2011a_h00_fee041_0008364_0008924,I FORGOT TO S SAY I'M THE PROJECT MANAGER BUT I FIGURED YOU ALL KNEW THAT ALREADY UM SO
./data/voice/dev_ami_es2011a_h00_fee041_0009602_0009635,OKAY
./data/voice/dev_ami_es2011a_h00_fee041_0009826_0010223,UM SO F HERE'S OUR AGENDA FOR TODAY
./data/voice/dev_ami_es2011a_h00_fee041_0010223_0010777,UM WE'RE GONNA DO SOME TOOL TRAINING PROJECT PLAN AND DISCUSS
./data/voice/dev_ami_es2011a_h00_fee041_0010892_0011199,THEN CLOSE
./data/voice/dev_ami_es2011a_h00_fee041_0011199_0011657,UM SO
./data/voice/dev_ami_es2011a_h00_fee041_0011657_0012427,SO OUR AIM IS TO PRODUCE A REMOTE CONTROL THAT IS ORIGINAL TRENDY AND USER FRIENDLY
./data/voice/dev_ami_es2011a_h00_fee041_0012427_0013579,AND TO DO THIS WE HAVE TO UM THERE'S CERTAIN THINGS WE HAVE TO CONSIDER ABOUT FUNCTIONAL ASPECTS AND CONCEPTUAL DESIGN OF THE THING
./data/voice/dev_ami_es2011a_h00_fee041_0013579_0013729,SO
./data/voice/dev_ami_es2011a_h00_fee041_0013729_0013955,WE'LL GET TO THAT
./data/voice/dev_ami_es2011a_h00_fee041_0013955_0014041,OH THERE IT IS
./data/voice/dev_ami_es2011a_h00_fee041_0014041_0014119,RIGHT
./data/voice/dev_ami_es2011a_h00_fee041_0014119_0014435,FUNCTIONAL DESIGN CONCEPTUAL DESIGN AND DETAILED DESIGN
./data/voice/dev_ami_es2011a_h00_fee041_0014435_0015087,SO THROUGHOUT OUR NEXT COUPLE OF MEETINGS WE'LL WE'LL BE COVERING THESE THINGS
./data/voice/dev_ami_es2011a_h00_fee041_0015087_0015436,UM SO WE'RE GONNA TRY OUT OUR WHITE BOARD
./data/voice/dev_ami_es2011a_h00_fee041_0015703_0016410,IF WE'LL ALL DRAW OUR FAVOURITE ANIMAL TO SUM UP THE CHARACTERISTICS OF THAT ANIMAL
./data/voice/dev_ami_es2011a_h00_fee041_0016685_0016728,OKAY
./data/voice/dev_ami_es2011a_h00_fee041_0017316_0017402,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0017402_0017484,BOTH
./data/voice/dev_ami_es2011a_h00_fee041_0017484_0017670,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0018064_0018269,ANY VOLUNTEERS
./data/voice/dev_ami_es2011a_h00_fee041_0018269_0018496,DOES ANYONE KNOW WHAT THEY WANNA DRAW
./data/voice/dev_ami_es2011a_h00_fee041_0019375_0019654,I DON'T THINK SO
./data/voice/dev_ami_es2011a_h00_fee041_0026548_0026933,A DOLPHIN
./data/voice/dev_ami_es2011a_h00_fee041_0026933_0027051,'S LIKE PLAYING PICTIONARY
./data/voice/dev_ami_es2011a_h00_fee041_0027942_0028620,SO WHAT CHARACTERISTICS DO YOU LIKE ABOUT YOUR ANIMAL
./data/voice/dev_ami_es2011a_h00_fee041_0029852_0029925,THEY'RE GRACEFUL
./data/voice/dev_ami_es2011a_h00_fee041_0030285_0030548,SLEEK
./data/voice/dev_ami_es2011a_h00_fee041_0030922_0031388,I DON'T KNOW HOW INTELLIGENT THAT ONE LOOKS
./data/voice/dev_ami_es2011a_h00_fee041_0033896_0033912,YES
./data/voice/dev_ami_es2011a_h00_fee041_0033912_0034540,DOES ANYBODY ELSE WANNA DRAW THEIR ANIMAL
./data/voice/dev_ami_es2011a_h00_fee041_0037608_0037903,UH OH THERE GOES THE TEN
./data/voice/dev_ami_es2011a_h00_fee041_0037903_0038132,IT'S A CAT
./data/voice/dev_ami_es2011a_h00_fee041_0039466_0039616,DO YOU WANNA ANYTHING
./data/voice/dev_ami_es2011a_h00_fee041_0039616_0039862,I DUNNO IF THE THE AH
./data/voice/dev_ami_es2011a_h00_fee041_0041406_0041497,A HORSE
./data/voice/dev_ami_es2011a_h00_fee041_0042119_0042191,THAT'S VERY GOOD
./data/voice/dev_ami_es2011a_h00_fee041_0044993_0045063,YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0045882_0046101,THIS CORD'S
./data/voice/dev_ami_es2011a_h00_fee041_0046802_0046920,UH
./data/voice/dev_ami_es2011a_h00_fee041_0046920_0047069,RIGHT
./data/voice/dev_ami_es2011a_h00_fee041_0047069_0047412,ACTUALLY I HAVEN'T THOUGHT OF ANYTHING YET
./data/voice/dev_ami_es2011a_h00_fee041_0047412_0047511,UH
./data/voice/dev_ami_es2011a_h00_fee041_0048756_0049162,IT'S A PIG
./data/voice/dev_ami_es2011a_h00_fee041_0049162_0049480,SO I'M THINKING WE SHOULD DESIGN A REMOTE CONTROL THAT'S
./data/voice/dev_ami_es2011a_h00_fee041_0049625_0049873,WATER RESISTANT STRONG AND FURRY
./data/voice/dev_ami_es2011a_h00_fee041_0049873_0050234,WHAT DO YOU THINK YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0050234_0050846,THIS IS YEAH WELL LIKE A CAT YOU KNOW SOFT YEAH
./data/voice/dev_ami_es2011a_h00_fee041_0050846_0051104,ALTHOUGH UH I'LL JUST PUT THERE
./data/voice/dev_ami_es2011a_h00_fee041_0051104_0051407,RIGHT
./data/voice/dev_ami_es2011a_h00_fee041_0051643_0051955,OH MY GOSH THIS IS DISASTROUS
./data/voice/dev_ami_es2011a_h00_fee041_0052183_0052290,SORRY ABOUT THAT
./data/voice/dev_ami_es2011a_h00_fee041_0052432_0052726,OKAY
./data/voice/dev_ami_es2011a_h00_fee041_0052726_0053049,SO MOVING ON
./data/voice/dev_ami_es2011a_h00_fee041_0053049_0053917,OUR SELLING PRICE GOAL IS TWENTY FIVE EURO AND PROFIT AIM IS FIFTY MILLION EURO
./data/voice/dev_ami_es2011a_h00_fee041_0053917_0054658,SO I'M GUESSING THAT WE'RE NOT ACTUALLY IN SCOTLAND WE'RE IN SOME EUROPEAN COUNTRY
